	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	agerschta	agerschte	1	agerschte	agerschte	0	Agerst	Agerst	0
1	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	agerschde	agerste	3	agerschte	agerschte	0	Agerst	Agerst	0
2	Co D3	na	Rimbach-Pès-Masevaux)	6.9473, 47.82212	agersta	na	999	agerschte	na	999	Agerst	na	999
3	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	ägerschte	agaschte	3	ägerschte	agerschte	1	Agerst	Agerst	0
4	Co D4	na	Kirchberg-Wegscheid	6.95965, 47.79904	agerschta	na	999	agerschte	na	999	Agerst	na	999
5	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	agerschta	agersta	2	agerschte	agerschte	0	Agerst	Agerst	0
6	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	ägerschd	agerscht	2	ägerscht	agerscht	1	Agerst	Agerst	0
7	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	agerschta	na	999	agerschte	na	999	Agerst	na	999
8	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	agerscht	agerscht	0	agerscht	agerscht	0	Agerst	Agerst	0
9	Co w 3	na	Hüsseren-Wesserling (Husseren-Wesserling)	6.98836, 47.88519	agerschta	na	999	agerschte	na	999	Agerst	na	999
10	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	agerschta	ackersta	4	agerschte	agerschte	0	Agerst	Agerst	0
11	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	agerschta	agerscht	1	agerschte	agerscht	1	Agerst	Agerst	0
12	Co T10	na	Schaffnatt am Weier (Chavannes-Sur-LÉtang)	7.02504, 47.63178	agerschte	na	999	agerschte	na	999	Agerst	na	999
13	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	āgerschta	agrsta	4	agerschte	agerschte	0	Agerst	Agerst	0
14	Co M10	na	Morzweiler (Mortzwiller)	7.04125, 47.73832	agerschta	na	999	agerschte	na	999	Agerst	na	999
15	Co x 6	III_14_0011	Moosch, Moosch	7.04865, 47.86081	āgerschte	a̠gerschde	3	agerschte	agerschte	0	Agerst	Agerst	0
16	Co T16	na	Menglatt (Magny)	7.05408, 47.6019	agerstä	na	999	agerschte	na	999	Agerst	na	999
17	Co E3	III_14_0090	Sentheim, Sentheim	7.0544, 47.75581	āgerstä	aagerschtă	5	agerschte	agerschte	0	Agerst	Agerst	0
18	Co M2	III_15_0001	Obersulzbach Kreis Tann (Soppe-Le-Haut), Obersulzbach <Morzweiler> Morzweiler steht nur auf S.1	7.05724, 47.73372	agerschta	agersta	2	agerschte	agerschte	0	Agerst	Agerst	0
19	Co T9	III_16_0014	Gottestal, Luttern (Valdieu-Lutran), Gottestal	7.05852, 47.63139	agerst	agerst	0	agerscht	agerscht	0	Agerst	Agerst	0
20	Co E2	III_14_0091	Niederburbach (Bourbach-Le-Bas), Niederburbach	7.05868, 47.77527	agerstä	agerschta	3	agerschte	agerschte	0	Agerst	Agerst	0
21	Co M7	na	St Kosman (Saint-Cosme)	7.06248, 47.68339	agerschd	na	999	agerscht	na	999	Agerst	na	999
22	Co x 4	III_14_0012	Weiler, Weiler	7.07073, 47.84351	aderste	agerste	1	aderschte	agerschte	1	Agerst	Agerst	0
23	Co E13	III_14_0092	Rammersmatt, Rammersmatt	7.07084, 47.78935	agerschta	agerste	3	agerschte	agerschte	0	Agerst	Agerst	0
24	Co M6	na	Bretten Landkreis Altkirch	7.0716, 47.69963	agerstä	na	999	agerschte	na	999	Agerst	na	999
25	Co E9	III_14_0089	Tann-Bitschweiler (Bitschwiller-Lès-Thann), Bitschweiler	7.07947, 47.82929	agerschde	āgerschte	2	agerschte	agerschte	0	Agerst	Agerst	0
26	Co E5	na	Rodern	7.0877, 47.77839	agerschta	na	999	agerschte	na	999	Agerst	na	999
27	Co M3	III_15_0003	Niedersulzbach (soppe-Le-Bas), Niedersulzbach	7.09079, 47.71688	agerschta	agerste, agerscht	1	agerschte	agerschte, agerscht	0	Agerst	Agerst	0
28	Co M1	III_15_0002	Gewenheim, Gewenheim	7.0913, 47.75291	agerschte	agerste	2	agerschte	agerschte	0	Agerst	Agerst	0
29	Co T2	na	Niedertraubach (traubach-Le-Haute)	7.09169, 47.66903	agerste	na	999	agerschte	na	999	Agerst	na	999
30	Co T8	III_16_0017	Retzweiler, Retzweiler	7.09315, 47.63072	āgerschta	agersta	3	agerschte	agerschte	0	Agerst	Agerst	0
31	Co E6	na	Leimbach	7.09999, 47.79305	āgeschta	na	999	ageschte	na	999	Agerst	na	999
32	Co E7	III_14_0094	Tann (Thann), Thann	7.10335, 47.81019	agerschte	aagerstĕr	5	agerschte	agerschte	0	Agerst	Agerst	0
33	Co T11	III_16_0019	Mansbach (Manspach), Mansbach	7.10508, 47.6176	agerschda	agersta	3	agerschte	agerschte	0	Agerst	Agerst	0
34	Co T7	III_16_0007	Wolfersdorf, Wolfersdorf	7.1132, 47.63625	agerschta	agersta	2	agerschte	agerschte	0	Agerst	Agerst	0
35	Co T12	III_16_0002	Altenach, Altenach	7.11466, 47.60658	âgâstâ	agesta	3	ageschte	ageschte	0	Agerst	Agerst	0
36	Co T13	III_16_0003	St. Ulrich bei Dammerkirch, St. Ulrich	7.11911, 47.59537	agersta	āgerschdaͤ	5	agerschte	agerschte	0	Agerst	Agerst	0
37	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	aadrschda	agesta	6	aderschte	ageschte	2	Agerst	Agerst	0
38	Co E8	III_14_0095	Alttann (Vieux-Thann), Alttann	7.12206, 47.80704	ägersta	agerschta	3	ägerschte	agerschte	1	Agerst	Agerst	0
39	Co q 8	III_13_0102	Sengern, Sengern	7.12209, 47.94246	agerschta	agerschta	0	agerschte	agerschte	0	Agerst	Agerst	0
40	Co q 1	III_13_0098	Lintal (Linthal, Kreis Tann), Lintal	7.12943, 47.94619	agersta	agersta	0	agerschte	agerschte	0	Agerst	Agerst	0
41	Co i 1/1	na	Münster (Munster)	7.13185, 48.0418	āgerschd	na	999	agerscht	na	999	Agerst	na	999
42	Co T5	III_16_0004	Gommersdorf, Gommersdorf	7.13318, 47.64299	āgerschta	agerschta	1	agerschte	agerschte	0	Agerst	Agerst	0
43	Co E10	III_14_0098	Oberasbach (Aspach-Le-Haute), Oberaspach	7.13352, 47.77692	agerschta	agrschta	1	agerschte	agerschte	0	Agerst	Agerst	0
44	Co M8	III_15_0011, III_15_0010	Gildweiler (Gildwiller), Falkweiler, Hecken, Falkweiler, Gildweiler	7.13461, 47.6894	agasta	agersta	2	agerschte	agerschte	0	Agerst	Agerst	0
45	Co Vc 2	III_16_0011	Hindlingen, Hindlingen	7.13734, 47.57341	āgerschta	ähgerschta	2	agerschte	ägerschte	1	Agerst	Agerst	0
46	Co T3	III_16_0008	Büttweiler (Buethwiller), Bütweiler	7.14982, 47.65627	agrschta	egerste	5	agerschte	egerschte	1	Agerst	Agerst	0
47	Co M4	III_15_0014	Oberburnhaupt (Burnhaupt-Le-Haut), Oberburnhaupt	7.14988, 47.72886	āgerschdā	ågerschdā	1	agerschte	agerschte	0	Agerst	Agerst	0
48	Co Vc 1	III_17_0002	Friesen, Friesen	7.15001, 47.56535	agerschter	ackerschta	4	agerschte	agerschte	0	Agerst	Agerst	0
49	Co E11	III_14_0099	Niederasbach (Aspach-Le-Bas), Niederaspach	7.15065, 47.7618	agrschta	agerschda	2	agerschte	agerschte	0	Agerst	Agerst	0
50	Co E12	III_14_0096	Steinbach, Steinbach	7.15487, 47.82041	agersta	agersta	0	agerschte	agerschte	0	Agerst	Agerst	0
51	Co x 8	na	Rimbach bei Gebweiler (Rimbach-près-Guebwiller)	7.15658, 47.90483	āgrscht	na	999	agerscht	na	999	Agerst	na	999
52	Co T4	III_16_0009	Hagenbach, Hagenbach	7.15712, 47.65028	agersta	agerschte	3	agerschte	agerschte	0	Agerst	Agerst	0
53	Co q 2	III_13_0100	Lautenbach (Kreis Tann), Lautenbach	7.15877, 47.9414	agerscht	agerscht	0	agerscht	agerscht	0	Agerst	Agerst	0
54	Co M5	III_15_0013	Niederburnhaupt (Burnhaupt-Le-Bas), Niederburnhaupt	7.16039, 47.71674	agerschde	agerschda	1	agerschte	agerschte	0	Agerst	Agerst	0
55	Co q 6	III_13_0101	Murbach, Murbach	7.1604, 47.92318	agerst	agerst	0	agerscht	agerscht	0	Agerst	Agerst	0
56	Co T15	III_16_0010	Ballersdorf, Ballersdorf	7.1624, 47.625	agörschda	agerschta	2	agerschte	agerschte	0	Agerst	Agerst	0
57	Co Ua 11	III_17_0031	Pfetterhausen (Pfetterhouse), Pfetterhausen	7.16635, 47.50105	agersta	agerste	1	agerschte	agerschte	0	Agerst	Agerst	0
58	Co N1	III_14_0100	Schweighausem (Schweighouse-Thann), Schweighausen	7.16714, 47.75272	ägeschte	āgeste	3	ägeschte	ageschte	1	Agerst	Agerst	0
59	Co N12	III_15_0028	Balschweiler bei Altkirch, Balschweiler	7.1681, 47.66772	ageschde	ageschda	1	ageschte	ageschte	0	Agerst	Agerst	0
60	Co Ua 14	III_17_0014	Niedersept (Seppois-le-Bas), Niedersept	7.17622, 47.53614	agerschte	agerschte	0	agerschte	agerschte	0	Agerst	Agerst	0
61	Co r 6	III_13_0107	Schweighausen Kreis Gebweiler (Schweighouse bei Lautenbach), Schweighausen	7.17716, 47.93851	āgerscht	aagrscht	3	agerscht	agerscht	0	Agerst	Agerst	0
62	Co F5	III_14_0016	Wattweiler (Wattwiller), Wattweiler	7.17766, 47.83549	ågerscht	agerschd	2	agerscht	agerscht	0	Agerst	Agerst	0
63	Co F1	III_14_0101	Uffholz, Uffholz	7.17804, 47.81981	agrschte	agerschtā	2	agerschte	agerschte	0	Agerst	Agerst	0
64	Co F2	III_14_0097	Sennheim (Cerany), Sennheim	7.17837, 47.80918	ågerschte	agerschta	2	agerschte	agerschte	0	Agerst	Agerst	0
65	Co Ua 5	III_17_0030	Largitzen, Largitzen	7.1873, 47.56163	agerschte	ägerste	3	agerschte	ägerschte	1	Agerst	Agerst	0
66	Co y 2	na	Jungholtz	7.1923, 47.88825	agerscht	na	999	agerscht	na	999	Agerst	na	999
67	Co N14	III_15_0027	Bernweiler (Bernwiller), Bernweiler	7.19368, 47.69085	āgrschta	agrschta	1	agerschte	agerschte	0	Agerst	Agerst	0
