	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	6.90688	47.80694	pflǖma	pflüme	2	0.27653505100899384	pflüme	pflüme	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
1	Co D1	III_14_0082	Dollern, Dollern (Dolleren)	6.93211, 47.80559	6.93211	47.80559	pflīemala	pflüma	0	-0.7815579410052661	pfliemla	pflüme	0	-0.5955950302609602	Pfläumle	Pflaume	0	-0.48323353219796433
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	6.94324	47.80838	pflüme	pflumme	2	0.27653505100899384	pflüme	pflume	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	6.9473	47.82212	pflüma	pflaume	3	0.8055815470161238	pflüme	pflaume	2	0.4650288411235568	Pflaume	Pflaume	0	-0.48323353219796433
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	6.95521	47.88255	pflum	pflüm	1	-0.25251144499813616	pflum	pflüm	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
5	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	6.95965	47.79904	pflumä	pflüma	2	0.27653505100899384	pflume	pflüme	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
6	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	6.96296	47.98143	pflüme	pfluma	2	0.27653505100899384	pflüme	pflume	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
7	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	6.96629	47.92912	pflume	pflaume, pflüma	1	-0.25251144499813616	pflume	pflaume, pflüme	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
8	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	6.97173	47.78361	pflüma	pflüma	0	-0.7815579410052661	pflüme	pflüme	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
9	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	6.97488	47.87245	bflumä	pflume	2	0.27653505100899384	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
10	Co w 1	III_14_0004	Oderen, Odern	6.97525, 47.91008	6.97525	47.91008	pflūmä	pflüm	2	0.27653505100899384	pflume	pflüm	2	0.4650288411235568	Pflaume	Pflaume	0	-0.48323353219796433
11	Co D5	na	Sickert, Niederbruck	6.979, 47.78312	6.979	47.78312	pflüma	na	999	527.7358915701176	pflüme	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
12	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler	6.98122, 48.93023	6.98122	48.93023	prümme	brüme	2	0.27653505100899384	prüme	prüme	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
13	Co w 2	III_14_0005	Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	6.98613	47.89621	pfluma	pflüma	1	-0.25251144499813616	pflume	pflüme	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
14	Co w 3	III_14_0006	Hüsseren-Wesserling (Husseren-Wesserling), Hüssern-Wesserling	6.98836, 47.88519	6.98836	47.88519	pflǖma	pflüma	1	-0.25251144499813616	pflüme	pflüme	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
15	Hag D 1	na	Hinsingen	6.99156, 48.9525	6.99156	48.9525	brümme	na	999	527.7358915701176	prüme	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
16	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	6.99386	47.7727	pflüma	pflüma	0	-0.7815579410052661	pflüme	pflüme	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
17	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	7.00519	47.87122	pflūm	pfluma	2	0.27653505100899384	pflum	pflume	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
18	Co x 1	III_14_0008	Ranspach, Ranspach	7.01113, 47.88081	7.01113	47.88081	pfluma	pfluma	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
19	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	7.02216	47.75778	roßpflüma	pflüma	0	-0.7815579410052661	rospflüme	pflüme	0	-0.5955950302609602	Rosspflaume	Pflaume	0	-0.48323353219796433
20	Hag E 10	na	Bissert	7.02465, 48.94167	7.02465	48.94167	brümm	na	999	527.7358915701176	prüm	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
21	Co T10	na	Schaffnatt am Weier (Chavannes-Sur-LÉtang)	7.02504, 47.63178	7.02504	47.63178	pflühme	na	999	527.7358915701176	pflüme	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
22	Co E1	III_14_0088	Oberburbach (Bourbach-Les-Haut), Oberburbach	7.02973, 47.7953	7.02973	47.7953	plǖma	pfluma	2	0.27653505100899384	plüme	pflume	2	0.4650288411235568	Pflaume	Pflaume	0	-0.48323353219796433
23	Co x 5	III_14_0009	St. Amarin, St. Amarin	7.03186, 47.87365	7.03186	47.87365	pflüma	pflüma	0	-0.7815579410052661	pflüme	pflüme	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
24	Co q 5	III_13_0096	Mittlach, Mittlach, Mittlach	7.03325, 48.00405	7.03325	48.00405	grïecha, pflüma	pflüma	999	527.7358915701176	grieche, pflüme	pflüme	999	529.1860287263053	Grieche, Pflaume	Pflaume	999	529.091394870162
25	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	7.03487	47.86486	pfluma	pflüme	2	0.27653505100899384	pflume	pflüme	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
