	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
0	Co D6	III_14_0081	Sewen, Sewen	6.90688, 47.80694	6.90688	47.80694	åmeisa	åmeise	1	-0.25251144499813616	ameise	ameise	0	-0.5955950302609602	Ameise	Ameise	0	-0.48323353219796433
1	Co D1	III_14_0082	Dollern (Dolleren), Dollern	6.93211, 47.80559	6.93211	47.80559	ōmeisa	omeisa	1	-0.25251144499813616	ameise	ameise	0	-0.5955950302609602	Ameise	Ameise	0	-0.48323353219796433
2	Co D2	III_14_0083	Oberbruck, Oberbruck	6.94324, 47.80838	6.94324	47.80838	åmeise	ameise	1	-0.25251144499813616	ameise	ameise	0	-0.5955950302609602	Ameise	Ameise	0	-0.48323353219796433
3	Co D3	III_14_0080	Rimbach-Pès-Masevaux), Rimbach	6.9473, 47.82212	6.9473	47.82212	ameisa	ameise	1	-0.25251144499813616	ameise	ameise	0	-0.5955950302609602	Ameise	Ameise	0	-0.48323353219796433
4	Co w 5	III_14_0001	Urbis, St. Amarintal (Urbès), Urbis	6.95521, 47.88255	6.95521	47.88255	ameis	ameise	1	-0.25251144499813616	ameise	ameise	0	-0.5955950302609602	Ameise	Ameise	0	-0.48323353219796433
5	Co D4	III_14_0084	Kirchberg-Wegscheid, Kirchberg	6.95965, 47.79904	6.95965	47.79904	amaisa	ameise	2	0.27653505100899384	ameise	ameise	0	-0.5955950302609602	Ameise	Ameise	0	-0.48323353219796433
6	Co p 2	III_13_0094	Wildenstein bei Krüt, Kreis Tann, Wildenstein	6.96296, 47.98143	6.96296	47.98143	amaise	omeisa	3	0.8055815470161238	ameise	ameise	0	-0.5955950302609602	Ameise	Ameise	0	-0.48323353219796433
7	Co p 1	III_13_0095	Krüt (Kruth), Krüt	6.96629, 47.92912	6.96629	47.92912	åmeise	ameise, omeise	1	-0.25251144499813616	ameise	ameise	0	-0.5955950302609602	Ameise	Ameise	0	-0.48323353219796433
8	Co D8	III_14_0085	Niederbruck, Niederbruck	6.97173, 47.78361	6.97173	47.78361	omeisa	omeisa	0	-0.7815579410052661	ameise	ameise	0	-0.5955950302609602	Ameise	Ameise	0	-0.48323353219796433
9	Co w 4	III_14_0003	Mollau , Mollau	6.97488, 47.87245	6.97488	47.87245	ameis	ameise	1	-0.25251144499813616	ameise	ameise	0	-0.5955950302609602	Ameise	Ameise	0	-0.48323353219796433
