	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
0	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	elschter	e l sch t e r	elster	e l s t e r	2
1	Co x 3	III_14_0010	Malmerspach, Malmerspach	7.03487, 47.86486	elschter	e l sch t e r	elster	e l s t e r	2
2	Co x 9	III_14_0013	Geishausen, Geishausen	7.05832, 47.88017	elschter	e l sch t e r	elschder	e l sch d e r	1
3	Co i 10	III_13_0007	Mühlbach (Muhlbach-Sur-Munster), Mühlbach	7.08731, 48.02582	elschter	e l sch t e r	elschder	e l sch d e r	1
4	Co i 8	III_13_0001	Hohrodberg, Hohrodberg	7.13528, 48.06037	älschder	ä l sch d e r	elschder	e l sch d e r	1
5	Co q 7	III_13_0099	Lautenbachzell, Lautenbachzell	7.14925, 47.94057	elster	e l s t e r	elschter	e l sch t e r	2
6	Co y 1/2, Co y 1/1	III_14_0017	Rimbach-Zell (Rimbachzell), Rimbach-Zell	7.17995, 47.8995	ålster	å l s t e r	elster	e l s t e r	1
7	Hag N 9	III_6_0018	Adamsweiler (Adamswiller), Adamsweiler	7.20348, 48.90463	elschdr	e l sch d r	elster	e l s t e r	3
8	Stra z 2	III_10_0086	Natzweiler, Natzweiler	7.25895, 48.43628	elschdr	e l sch d r	elster	e l s t e r	3
9	Co c 12	III_12_0082	Ammerschweier, Ammerschweier	7.28484, 48.12465	elschter	e l sch t e r	elstr	e l s t r	3
10	Hag O 4	III_6_0037	Erkartsweiler (Erckartswiller), Erkartsweiler	7.3596, 48.87532	elster	e l s t e r	elschter	e l sch t e r	2
11	Hag P 14	III_6_0066	Pfaffenhofen, Pfaffenhofen	7.60881, 48.84422	elschdr	e l sch d r	elschter	e l sch t e r	2
12	Co P15	III_15_0055	Holzen, Holzen	7.62775, 47.69538	elschtere	e l sch t e r e	elschtre	e l sch t r e	1
13	Co H12	III_14_0142	Obereggenen, Niedereggenen, Obereggenen, Niedereggenen	7.64434, 47.75677	elschdere	e l sch d e r e	elstere	e l s t e r e	3
14	Co W 7, 9/1	III_16_0086	Wittlingen, Wittlingen	7.64842, 47.6562	elstere	e l s t e r e	elschder	e l sch d e r	4
15	Co W 21	III_16_0078	Tumringen, Tumringen	7.65564, 47.62739	elschder	e l sch d e r	eschter	e sch t e r	2
16	Co X 4	III_16_0092	Haagen, Haagen	7.67898, 47.63703	elster	e l s t e r	elschter	e l sch t e r	2
17	Co X 16	III_16_0096	Inzlingen, Inzlingen	7.68772, 47.58811	elschder	e l sch d e r	elschter	e l sch t e r	1
18	Co X 5	III_16_0093	Hauingen, Hauingen	7.69375, 47.64287	elschder	e l sch d e r	elster	e l s t e r	3
19	Co J7	III_14_0147, III_15_0061	Malsburg, Malsburg	7.70866, 47.73257	elster	e l s t e r	elschter	e l sch t e r	2
20	Co B9	III_14_0059, III_14_0061, III_14_0060	Staufen (bei Freiburg), Staufen	7.72962, 47.88166	elstere	e l s t e r e	elschdere	e l sch d e r e	3
21	Co Q8	III_15_0062	Endenburg, Endenburg	7.73306, 47.71161	elster	e l s t e r	elschder	e l sch d e r	3
22	Co X 7	III_16_0098	Steinen, Steinen	7.73911, 47.64447	elschder	e l sch d e r	elschter	e l sch t e r	1
23	Co X 8	III_16_0099	Höllstein, Höllstein	7.74574, 47.63943	elschtr	e l sch t r	elschtěr	e l sch t ě r	1
24	Co X 13	III_16_0101	Adelhausen, Adelhausen	7.76116, 47.61477	elstere	e l s t e r e	elschtere	e l sch t e r e	2
25	Stra Y 8	III_12_0038, III_12_0039, III_12_0037	Herbolzheim a. d. Bleich, Herbolzheim	7.77743, 48.22249	elster	e l s t e r	elschdr	e l sch d r	3
26	Co u 9	III_13_0140	Ebringen, Ebringen	7.77981, 47.95761	elschter	e l sch t e r	elster	e l s t e r	2
27	Co B7	III_14_0065	Untermünstertal-Ziegelplatz (Untermünstertal), Untermünstertal	7.78649, 47.85518	elschter	e l sch t e r	elster	e l s t e r	2
28	Co Q6	III_15_0067	Tegernau, Tegernau	7.79638, 47.72037	elschder	e l sch d e r	elschter	e l sch t e r	1
29	Co Q10	III_15_0065	Wieslet, Wieslet	7.79819, 47.6893	elschter	e l sch t e r	elstere	e l s t e r e	3
30	Co u 12	III_13_0132	St. Georgen , St. Georgen	7.8056, 47.97934	elschder	e l sch d e r	elschter	e l sch t e r	1
31	Co X 12	III_16_0111	Nordschwaben, Nordschwaben	7.81682, 47.6184	elschdr	e l sch d r	elschder	e l sch d e r	1
32	Co J6	III_14_0150	Neuenweg, Landkreis Lörrach, Neuenweg	7.8271, 47.79543	älster	ä l s t e r	elster	e l s t e r	1
33	Co g 8	III_12_0131	Mundingen, Mundingen	7.8346, 48.13735	elschter	e l sch t e r	elschder	e l sch d e r	1
34	Co R12	III_15_0089	Hausen im Wiesental, Hausen im Wiesental	7.84055, 47.68143	elschter	e l sch t e r	elster	e l s t e r	2
35	Co R13	III_15_0085	Raitbach, Raitbach	7.86089, 47.68233	elschderǟ	e l sch d e r ǟ	elster	e l s t e r	4
36	Co o 1	III_13_0147	Zähringen, <E.G.> Zähringen	7.86149, 48.02593	elschdr	e l sch d r	elster	e l s t e r	3
37	Stra D 2	III_10_0117	Hohnhurst, Hohnhurst	7.86191, 48.49204	elschdr	e l sch d r	elster	e l s t e r	3
38	Co R1	III_15_0069	Pfaffenberg, Pfaffenberg	7.86972, 47.73452	elschdr	e l sch d r	elschder	e l sch d e r	1
39	Co C10	III_14_0067	Obermünstertal-Stohren, Obermünstertal-Stohren	7.87525, 47.8938	elschder	e l sch d e r	elster	e l s t e r	3
40	Co K7	III_14_0155	Schönenberg, Schönenberg	7.88227, 47.79265	elschder	e l sch d e r	elster	e l s t e r	3
41	Co R5	III_15_0076	Mambach, Mambach	7.88363, 47.72839	elschder	e l sch d e r	elschter	e l sch t e r	1
42	Co R7	III_15_0075	Häg-Rohrberg, Rohrberg	7.90412, 47.7181	elschter	e l sch t e r	elster	e l s t e r	2
43	Co R3	III_15_0071	Häg (bei Mambach), Häg	7.91432, 47.73207	elsteré	e l s t e r é	elschter	e l sch t e r	3
44	Co g 15	III_12_0129	Keppenbach, Frei Keppenbach	7.92037, 48.14437	elschder	e l sch d e r	elstere	e l s t e r e	4
45	Co C4	III_14_0071	Todtnauberg, Todtnauberg	7.94335, 47.85074	elschdr	e l sch d r	elschtere	e l sch t e r e	3
46	Co K11	III_14_0169	Präg-Herrenschwand, Präg-Herrenschwand	7.95327, 47.76746	elster	e l s t e r	elschter	e l sch t e r	2
47	Co g 2	III_12_0139	Waldkirch, Waldkirch	7.96049, 48.09361	elschdr	e l sch d r	elster	e l s t e r	3
48	Co v 4	III_13_0151	Stegen, Stegen	7.96093, 47.98418	elschder	e l sch d e r	eelster	ee l s t e r	4
49	Co g 11	III_12_0140	Kollnau, Kollnau	7.9721, 48.10586	elschter	e l sch t e r	elster	e l s t e r	2
50	Co K10	III_14_0154	Präg, Präg	7.97232, 47.77964	elschter	e l sch t e r	elschdr	e l sch d r	2
51	Co g 6	III_12_0128	Siegelau, Siegelau	7.97753, 48.14612	elschder	e l sch d e r	elster	e l s t e r	3
52	Co g 16	III_12_0142	Gutach, Gutach	7.98722, 48.11814	elschter	e l sch t e r	elschdr	e l sch d r	2
53	TUTT L4/2, Co R15, TUTT L4/1	III_15_0073, III_14_0176	Todtmoos, Todtmoos , Todtmoos	8.00438, 47.74133	elschter	e l sch t e r	elster	e l s t e r	2
54	TUTT a4	III_12_0147	Simonswald, Untersimonswald	8.04838, 48.10278	elschtr	e l sch t r	älschter	ä l sch t e r	2
55	TUTT D1	III_14_0170	Menzenschwand, Merzenschwand	8.07059, 47.81749	elschdr	e l sch d r	elschter	e l sch t e r	2
56	TÜB p4	III_10_0074	Ringelbach, Ringelbach	8.08834, 48.55764	elschter	e l sch t e r	elster	e l s t e r	2
57	TUTT Sa7	III_17_0061	Laufenburg (Baden), Laufenburg	8.0908, 47.58055	elschdere	e l sch d e r e	elster	e l s t e r	4
58	TUTT h7	III_13_0075	Obersimonswald, Obersimonswald	8.09331, 48.0797	elster	e l s t e r	elstere̯	e l s t e r e ̯	2
59	TUTT Sa8	III_17_0060	Luttingen und Grunholz, Luttingen	8.09878, 47.57252	elster	e l s t e r	elstere	e l s t e r e	1
60	TUTT L2	III_15_0110	Wittenschwand, Wittenschwand	8.10083, 47.72846	elster	e l s t e r	elschtre	e l sch t r e	4
61	TUTT L10	III_15_0100	Wolpadingen, Wolpadingen	8.10774, 47.69861	elstere	e l s t e r e	elster	e l s t e r	1
