	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_DWA	Levenshtein_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype
0	Hag D 1	na	Hinsingen	6.99156, 48.9525	achgrätzere	na	999	arschkrätzere	na	999	Arschkrätzer	na	999
1	Hag E 10	na	Bissert	7.02465, 48.94167	aschgrätzer	na	999	arschkrätzer	na	999	Arschkrätzer	na	999
2	Hag E 9	III_5_0027	Harskirchen, Harskirchen	7.0389, 48.93409	arschkretzer	aschkretzer	1	arschkrätzer	arschkrätzer	0	Arschkrätzer	Arschkrätzer	0
3	Hag E 7	na	Keskastel	7.04339, 48.96955	arschkrâtzer	na	999	arschkrätzer	na	999	Arschkrätzer	na	999
4	Hag M 12	III_6_0005	Diedendorf, Diedendorf	7.04974, 48.87869	arschkrätzer	arschkrätzer	0	arschkrätzer	arschkrätzer	0	Arschkrätzer	Arschkrätzer	0
5	Hag E 8	III_5_0026	Schopperten, Schopperten	7.05316, 48.94524	arschkrätzer	arschkrätzer	0	arschkrätzer	arschkrätzer	0	Arschkrätzer	Arschkrätzer	0
6	Hag T 2	III_7_0006	Kirberg (Kirrberg), Kirberg	7.06204, 48.8233	åschgräzer	oaschgrätzere	4	arschkrätzer	arschkrätzere	1	Arschkrätzer	Arschkrätzer	0
7	Hag M 2	III_6_0002	Pisdorf (Bischtroff-sur-Sarre), Pisdorf	7.06995, 48.9005	aschkrätzer	arschkrätzere	2	arschkrätzer	arschkrätzere	1	Arschkrätzer	Arschkrätzer	0
8	Hag M 1	III_5_0034	Zollingen, Zollingen	7.07636, 48.91048	arschgrätzer	aschgrätzere	2	arschkrätzer	arschkrätzere	1	Arschkrätzer	Arschkrätzer	0
9	Hag x 2	III_4_0053	Herbitzheim, Herbitzheim	7.08355, 49.01459	arschkrätzert	arschkrätzert	0	arschkrätzert	arschkrätzert	0	Arschkrätzer	Arschkrätzer	0
10	Hag E 5	III_5_0033	Saarwerden (Sarrewerden), Saarwerden	7.08411, 48.9218	aschkrätzer	aschkretzere	2	arschkrätzer	arschkrätzere	1	Arschkrätzer	Arschkrätzer	0
11	Hag M 10	III_6_0012	Bärendorf (Baerendorf), Bärendorf	7.08463, 48.83742	årschkrätzer	arschkrätzer	1	arschkrätzer	arschkrätzer	0	Arschkrätzer	Arschkrätzer	0
12	Hag E 6/2, Hag E 6/1	III_5_0028, III_5_0029	Saarbuckenheim (Sarre-Union), Saarbuckenheim	7.08686, 48.93919	ärschkrätzer	arschkrätzer, ärchkrätzer	1	ärschkrätzer	arschkrätzer, ärschkrätzer	0	Arschkrätzer	Arschkrätzer	0
13	Hag x 1	III_4_0044	Silzheim (Siltzheim), Silzheim	7.09071, 49.0616	ärchkrätzer	ärchkretzer	1	ärschkrätzer	ärschkrätzer	0	Arschkrätzer	Arschkrätzer	0
