	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
0	Hag A 1	III_4_0077	Dambach	7.63179	49.00256	müllwalfer	mülwurf	5	1.8636745390303837	mülwalfer	mülwurf	4	1.5256527125080737	Maulwerfer	Maulwurf	3	1.1070806672085223
1	Hag B 1	na	Wengelsbach	7.71622	49.05104	maulwurf	na	999	527.7358915701176	maulwurf	na	999	529.1860287263053	Maulwurf	na	999	529.091394870162
2	Hag B 2	III_4_0080	Obersteinbach	7.69364	49.03549	müllwelfer	mülwerfer	2	0.27653505100899384	mülwelfer	mülwerfer	1	-0.06528309456870167	Maulwerfer	Maulwerfer	0	-0.48323353219796433
3	Hag B 3	III_4_0081	Niedersteinbach	7.71501	49.0295	mülwaͤrfer	mülwarfer	1	-0.25251144499813616	mülwarfer	mülwarfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
4	Hag B 4	III_4_0087	Wingen	7.81729	49.02601	maulwarfer	maulwarfer	0	-0.7815579410052661	maulwarfer	maulwarfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
5	Hag B 5	III_4_0086	Lembach	7.78942	49.00701	mǖlwarfer	mülwarfer	1	-0.25251144499813616	mülwarfer	mülwarfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
6	Hag C 1	III_4_0100	Weißenburg-Weiler	7.91271	49.0377	maulwelfer	maulwerfer	1	-0.25251144499813616	maulwelfer	maulwerfer	1	-0.06528309456870167	Maulwerfer	Maulwerfer	0	-0.48323353219796433
7	Hag C 2	III_4_0093, III_4_0094	Weißenburg (Wissembourg)	7.9521	49.03733	maulwerfer	maulwerfer, maulwerfer	0	-0.7815579410052661	maulwerfer	maulwerfer, maulwerfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer, Maulwerfer	0	-0.48323353219796433
8	Hag C 3	III_4_0099	Altenstadt	7.96964	49.03158	maulwelfer	maulwelfer	0	-0.7815579410052661	maulwelfer	maulwelfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
9	Hag C 4	III_4_0091	Rott	7.91304	49.02495	maulwelfer	maulwelfer	0	-0.7815579410052661	maulwelfer	maulwelfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
10	Hag C 5	na	Oberhoffen-lès-Wissembourg	7.91832	49.01679	maulwelfer	na	999	527.7358915701176	maulwelfer	na	999	529.1860287263053	Maulwerfer	na	999	529.091394870162
11	Hag C 6	III_4_0092	Steinselz (Steinseltz)	7.93035	49.0109	maulwölfer	maulwelfer	1	-0.25251144499813616	maulwölfer	maulwelfer	1	-0.06528309456870167	Maulwerfer	Maulwerfer	0	-0.48323353219796433
12	Hag C 7	III_4_0090	Kleeburg (Cleebourg)	7.89318	49.00093	maulwurf	maulwurf	0	-0.7815579410052661	maulwurf	maulwurf	0	-0.5955950302609602	Maulwurf	Maulwurf	0	-0.48323353219796433
13	Hag C 8	III_4_0088	Klimbach (Climbach)	7.85041	49.01803	mäulwarfer	maulwarfer	1	-0.25251144499813616	maulwarfer	maulwarfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
14	Hag D 1	na	Hinsingen	6.99156	48.9525	mülwolf	na	999	527.7358915701176	mülwolf	na	999	529.1860287263053	Maulwurf	na	999	529.091394870162
